,X,Y
0,108,392.5
1,19,46.2
2,13,15.7
3,124,422.2
4,40,119.4
5,57,170.9
6,23,56.9
7,14,77.5
8,45,214.0
9,10,65.3
10,5,20.9
11,48,248.1
12,11,23.5
13,23,39.6
14,7,48.8
15,2,6.6
16,24,134.9
17,6,50.9
18,3,4.4
19,23,113.0
20,6,14.8
21,9,48.7
22,9,52.1
23,3,13.2
24,29,103.9
25,7,77.5
26,4,11.8
27,20,98.1
28,7,27.9
29,4,38.1
30,0,0.0
31,25,69.2
32,6,14.6
33,5,40.3
34,22,161.5
35,11,57.2
36,61,217.6
37,12,58.1
38,4,12.6
39,16,59.6
40,13,89.9
41,60,202.4
42,41,181.3
43,37,152.8
44,55,162.8
45,41,73.4
46,11,21.3
47,27,92.6
48,8,76.1
49,3,39.9
50,17,142.1
51,13,93.0
52,13,31.9
53,15,32.1
54,8,55.6
55,29,133.3
56,30,194.5
57,24,137.9
58,9,87.4
59,31,209.8
60,14,95.5
61,53,244.6
62,26,187.5
